County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
ANTELOPE COUNTY,NE,24.1,18.4,93.0,3.4,97.9,94.9,2714,2.31,49912,26523,2.0,857.22,4.1,90.2,49.5,6295,6685,7.8,854,242,364,26,799,91,693,Antelope County,31003.0,3583,3281,3232,3185,3424,3368,-0.7370918224951157,-0.7159402621152088,-0.6265470297029704,-0.5105180533751963,-0.6273364485981309,-0.5593824228028503,Republican
ANTRIM COUNTY,MI,28.0,28.8,91.7,2.5,96.5,94.4,9899,2.32,56165,31851,1.8,475.7,2.3,89.1,50.2,23431,23580,49.6,2534,682,1313,32,2440,121,2116,Antrim County,26009.0,15949,13582,13195,13852,13619,11507,-0.2375070537337764,-0.2960536003534089,-0.2129594543387646,-0.1030176147848686,-0.2428225273514942,-0.2130007821326148,Republican
APACHE COUNTY,AZ,15.8,12.3,80.4,6.6,22.3,18.0,20867,3.37,32508,15128,1.4,11197.52,53.8,93.8,50.6,66021,71518,6.4,2787,1131,1251,1687,974,234,2314,Apache County,4001.0,35172,27661,25848,24262,24198,19456,0.336944160127374,0.319691985105383,0.3442045806251934,0.2818811309867282,0.3006033556492272,0.3637952302631578,Democrat
APPANOOSE COUNTY,IA,22.9,16.3,90.2,2.2,96.4,94.6,5353,2.3,40167,26012,0.9,497.29,2.9,87.6,50.5,12317,12887,25.9,1388,495,549,27,1313,112,1156,Appanoose County,19007.0,6516,6136,6245,6176,6450,5704,-0.4037753222836095,-0.3616362451108214,-0.033626901521217,-0.0187823834196891,-0.0429457364341084,-0.0757363253856943,Republican
APPLING COUNTY,GA,17.7,9.8,74.9,10.0,77.2,68.7,6656,2.69,40304,21300,5.0,507.08,10.6,93.7,50.2,18444,18236,36.0,1392,387,809,298,1049,187,1134,Appling County,13001.0,8341,7012,7086,6996,6369,6099,-0.5691164129001319,-0.5790074158585282,-0.4904036127575502,-0.4629788450543167,-0.4154498351389543,-0.3028365305787834,Republican
APPOMATTOX COUNTY,VA,21.2,20.9,85.9,1.9,78.7,77.1,6091,2.57,58696,28586,1.2,333.49,1.7,94.6,51.5,16119,14973,44.9,962,253,616,117,796,80,806,Appomattox County,51011.0,9268,8011,7935,7630,6655,5927,-0.4622356495468278,-0.4608663088253651,-0.3638311279143037,-0.2964613368283093,-0.3268219383921863,-0.2567909566391091,Republican
ARANSAS COUNTY,TX,28.9,21.9,84.5,27.9,92.9,66.8,9548,2.52,45137,30863,8.7,252.07,19.9,84.9,50.5,23830,23158,91.9,2712,859,1510,778,1835,341,2281,Aransas County,48007.0,12290,10512,9648,9778,9268,8247,-0.5144833197721725,-0.5018074581430745,-0.427653399668325,-0.3770709756596441,-0.423931808372896,-0.3338183581908572,Republican
ARAPAHOE COUNTY,CO,13.5,42.8,92.6,19.8,76.5,59.4,240304,2.66,77469,40443,15.1,798.1,23.4,81.8,50.4,655070,572003,716.7,61297,22462,31732,13912,44785,6119,52103,Arapahoe County,8005.0,350183,303046,285516,266148,232171,189942,0.2463968839149816,0.1413382786771645,0.099178329760854,0.1290710431789831,-0.0396819585564088,-0.0797822493182129,Democrat
ARCHER COUNTY,TX,19.6,23.9,90.3,8.2,95.1,88.3,3452,2.5,63835,34617,3.3,903.11,5.7,91.2,51.1,8560,9054,10.0,986,265,528,151,817,103,781,Archer County,48009.0,4796,4283,4164,4365,4451,3997,-0.8035863219349458,-0.7919682465561522,-0.7384726224783862,-0.6540664375715921,-0.6016625477420804,-0.4898674005504128,Republican
ARCHULETA COUNTY,CO,27.3,37.2,92.3,18.4,92.1,76.8,5858,2.23,52221,31629,5.0,1350.18,8.7,87.8,49.6,13359,12084,8.9,2070,607,884,211,1711,254,1546,Archuleta County,8007.0,9144,7339,6734,6625,5839,4758,-0.1586832895888014,-0.2403597220329745,-0.1771606771606771,-0.1210566037735848,-0.250042815550608,-0.3270281630937368,Republican
ARENAC COUNTY,MI,25.8,12.6,88.5,2.0,96.0,94.3,6571,2.26,42290,24328,1.1,363.19,1.8,89.0,49.6,15002,15899,43.8,1286,282,744,0,1248,192,924,Arenac County,26011.0,8831,7696,7841,8128,8216,7267,-0.3571509455327822,-0.3334199584199583,-0.0494834842494579,0.0428149606299212,0.0006085686465432949,0.0363286087794137,Republican
ARKANSAS COUNTY,AR,20.3,15.8,83.9,3.4,71.8,69.1,7491,2.36,46696,26386,0.8,988.77,2.0,87.1,51.7,17149,19019,19.2,1575,458,806,220,1281,163,1250,Arkansas County,5001.0,6292,6212,6494,6978,6946,6372,-0.3951048951048951,-0.3037669027688345,-0.2220511241145673,-0.2244196044711952,-0.0977541030809098,-0.0747018204645323,Republican
ARLINGTON COUNTY,VA,11.1,75.3,94.3,15.6,75.0,61.4,107032,2.15,120071,71841,23.2,25.97,29.7,79.6,49.9,238643,207627,7993.6,21665,7902,11888,6403,14039,2366,18087,Arlington County,51013.0,130739,121356,117608,110153,94650,83559,0.6350515148501976,0.5918949207290946,0.3978895993469832,0.4459070565486187,0.3629371368198627,0.2597565791835709,Democrat
ARMSTRONG COUNTY,PA,22.6,16.7,90.3,0.8,97.6,97.0,28137,2.31,51410,27715,0.5,653.2,2.5,92.8,50.2,65558,68941,105.5,4749,1301,2768,27,4567,610,3859,Armstrong County,42005.0,36370,31618,29602,30072,31097,27423,-0.5232884245257079,-0.5157188943007147,-0.3748733193703127,-0.2462090981644054,-0.2218863555970029,-0.1597564088538817,Republican
ARMSTRONG COUNTY,TX,24.9,22.8,86.9,9.2,96.3,88.1,694,2.76,72500,31749,2.2,909.11,6.4,91.8,51.1,1848,1901,2.1,62,31,27,0,57,0,57,Armstrong County,48011.0,1112,1021,935,990,1004,938,-0.8633093525179856,-0.8364348677766895,-0.7807486631016043,-0.7353535353535354,-0.6573705179282869,-0.6631130063965884,Republican
AROOSTOOK COUNTY,ME,24.9,19.2,88.6,1.4,94.8,93.7,29516,2.22,41123,25477,4.4,6671.33,15.0,89.3,50.6,67105,71870,10.8,6032,1479,3663,124,5708,694,5035,Aroostook County,23003.0,36210,35097,33860,35994,36709,35143,-0.1967412317039491,-0.1718950337635695,0.0762256349675133,0.0957659609934988,0.0500149827017897,0.0182397632529949,Republican
ARTHUR COUNTY,NE,21.4,26.2,93.7,4.3,97.2,94.2,197,2.17,42813,25906,1.2,715.36,5.1,90.8,51.0,434,460,0.6,65,0,54,0,57,0,57,Arthur County,31005.0,284,273,262,263,266,272,-0.8415492957746479,-0.8315018315018315,-0.751908396946565,-0.6768060836501901,-0.8120300751879699,-0.7683823529411765,Republican
ASCENSION PARISH,LA,12.3,26.4,88.6,6.0,72.6,67.5,43032,2.84,80527,34168,3.1,289.98,6.1,89.1,50.8,126500,107215,369.7,8748,3012,4597,2201,6243,847,7407,Ascension Parish,22005.0,62325,54678,51073,46571,39100,30844,-0.3255194544725231,-0.3596876257361278,-0.3427838583987626,-0.3567456142234437,-0.2738107416879796,-0.1113020360523927,Republican
ASHE COUNTY,NC,26.6,19.7,85.1,5.1,96.9,92.3,11938,2.21,40962,24814,3.5,426.14,5.3,93.9,51.0,26577,27281,64.0,2555,589,1646,113,2377,333,2080,Ashe County,37009.0,15814,13424,12610,13069,11823,10316,-0.4607942329581384,-0.4404052443384982,-0.3272006344171292,-0.232917591246461,-0.2380952380952381,-0.2147150058162079,Republican
ASHLAND COUNTY,OH,19.1,20.9,88.5,1.5,96.7,95.5,20417,2.51,52823,26017,1.5,422.95,5.1,85.2,50.8,52447,53139,125.6,4140,1287,2290,81,3934,463,3200,Ashland County,39005.0,26405,24590,24330,25168,24920,21258,-0.487256201476993,-0.4779585197234648,-0.2974928072338677,-0.2327558804831532,-0.3056179775280899,-0.3221375482171418,Republican
ASHLAND COUNTY,WI,20.2,19.8,92.2,3.0,83.8,82.2,6565,2.29,42510,23946,1.1,1045.04,3.2,87.2,49.8,16027,16157,15.5,1553,463,762,61,1365,79,1327,Ashland County,55003.0,8757,8029,8372,8574,9199,7890,0.1096265844467282,0.1153319217835347,0.3080506450071668,0.37135526008864,0.2708990107620393,0.1670468948035487,Democrat
ASHLEY COUNTY,AR,20.9,12.3,83.3,5.7,72.9,68.5,7757,2.59,44744,23391,2.5,925.35,5.2,90.6,51.3,19062,21853,23.6,1193,413,647,198,929,98,995,Ashley County,5003.0,7926,8083,7921,8642,8512,8271,-0.4318697956093869,-0.3624891748113324,-0.2535033455371796,-0.2811849109002545,-0.0805921052631579,0.0455809454721315,Republican
ASHTABULA COUNTY,OH,19.6,14.3,86.0,4.4,93.0,89.3,37832,2.49,46700,24265,1.4,701.93,7.1,88.0,49.5,97574,101497,144.6,6798,1916,4193,328,6227,609,5836,Ashtabula County,39007.0,44147,40867,43064,44874,45409,39472,-0.2354180352005798,-0.189419335894487,0.1278329927549693,0.1354459152293087,0.0665506837851526,0.0479073773814349,Republican
ASOTIN COUNTY,WA,24.0,21.4,91.4,4.4,93.2,89.8,9101,2.44,53715,29695,2.9,636.21,4.2,83.1,51.1,22285,21623,34.0,1274,453,579,82,1121,123,1019,Asotin County,53003.0,11951,9736,9901,9780,8786,7985,-0.2567985942598945,-0.2677691043549712,-0.1667508332491667,-0.1341513292433537,-0.2277486910994764,-0.2721352536005009,Republican
ASSUMPTION PARISH,LA,18.7,9.6,74.4,3.3,68.0,65.4,8552,2.6,43759,25752,1.2,338.66,12.6,91.6,51.4,21039,23421,69.2,1520,463,797,445,1054,224,1260,Assumption Parish,22007.0,11235,10904,10992,10960,10735,10053,-0.3060080106809078,-0.2552274394717534,-0.1209061135371179,-0.1117700729927007,0.0576618537494177,0.0829603103551178,Republican
ATASCOSA COUNTY,TX,14.9,14.4,77.1,64.8,95.3,32.8,15546,3.16,55366,23890,6.9,1219.54,38.5,88.3,50.2,48981,44911,36.8,4106,1360,2197,1950,2029,294,3591,Atascosa County,48013.0,18118,13673,12721,9938,12116,10746,-0.3401589579423777,-0.2901338404154172,-0.1830044807798129,-0.105353189776615,-0.2652690656982502,-0.1776474967429741,Republican
ATCHISON COUNTY,KS,17.6,22.0,92.7,3.2,90.9,88.2,5958,2.48,50439,24237,0.9,431.17,1.3,86.3,51.4,16348,16924,39.3,925,192,469,52,759,133,667,Atchison County,20005.0,7440,6575,6674,7191,7118,6900,-0.3423387096774193,-0.3133079847908745,-0.2022774947557687,-0.0764844945070226,-0.1067715650463613,-0.03,Republican
ATCHISON COUNTY,MO,26.2,23.1,91.5,1.5,97.4,96.1,2562,2.0,50236,31248,0.9,547.3,1.1,91.2,50.0,5305,5685,10.4,737,143,355,0,612,0,647,Atchison County,29005.0,2814,2724,2709,2976,3156,2871,-0.5810234541577826,-0.5576358296622614,-0.4230343300110742,-0.314516129032258,-0.358681875792142,-0.2734238941135493,Republican
ATHENS COUNTY,OH,13.6,30.2,90.0,1.9,91.2,89.7,22557,2.49,40905,22040,4.4,503.6,5.3,69.2,50.4,62431,64757,128.6,3704,1216,1972,184,3276,374,3033,Athens County,39009.0,26059,29443,27638,31098,30044,25447,0.1500441306266549,0.1703630744149713,0.3532817135827483,0.3530773683195061,0.2712688057515643,0.135772389672653,Democrat
ATKINSON COUNTY,GA,14.5,12.2,67.2,25.4,76.6,56.0,2880,2.85,37197,20338,12.6,339.38,21.8,94.4,49.2,8286,8375,24.7,479,163,307,102,368,63,405,Atkinson County,13003.0,3155,2610,2902,2904,2470,2071,-0.4675118858954041,-0.4524904214559387,-0.3473466574776017,-0.3453856749311295,-0.3510121457489878,-0.1965234186383389,Republican
ATLANTIC COUNTY,NJ,18.6,28.1,87.0,19.4,71.3,56.0,99850,2.61,62110,33284,16.5,555.7,27.0,86.9,51.6,274534,274549,494.1,21211,7026,11850,4969,15444,1425,18637,Atlantic County,34001.0,140031,117291,113179,118073,106097,91102,0.0669137548114346,0.0702014647330144,0.1685648397670945,0.1518382695451119,0.0589931854812105,0.1897543412877873,Democrat
ATOKA COUNTY,OK,20.0,15.0,83.2,3.6,72.5,70.2,5284,2.34,39316,20443,1.5,975.52,3.4,84.9,47.9,14143,14182,14.5,1173,376,642,171,955,157,967,Atoka County,40005.0,5389,5018,4781,4881,5088,4324,-0.7036555947300056,-0.6554404145077719,-0.4800250993516,-0.438639623028068,-0.235062893081761,-0.1084643848288621,Republican
ATTALA COUNTY,MS,19.5,13.9,77.6,2.0,54.6,53.0,6941,2.6,33767,21276,0.9,734.98,2.3,84.5,52.7,17889,19564,26.6,1213,419,646,430,681,137,952,Attala County,28007.0,8823,8256,9092,9162,7945,7173,-0.1854244588008614,-0.2004602713178295,-0.131874175098988,-0.1554245797860729,-0.2351164254247955,-0.179004600585529,Republican
AUDRAIN COUNTY,MO,18.2,14.7,86.2,3.3,89.9,87.2,9286,2.56,44261,23024,1.7,692.24,4.3,85.1,54.1,24962,25529,36.9,2007,577,984,89,1819,136,1768,Audrain County,29007.0,10656,10061,9952,10781,10683,9985,-0.4718468468468468,-0.4384256038167181,-0.2659766881028939,-0.1607457564233373,-0.184966769633998,-0.0706059088632948,Republican
AUDUBON COUNTY,IA,24.7,17.1,89.5,1.9,97.5,95.9,2649,2.06,52055,30344,0.5,442.96,1.4,88.3,51.3,5674,6119,13.8,636,123,420,0,614,0,551,Audubon County,19009.0,3420,3412,3457,3435,3592,3784,-0.3590643274853802,-0.3094958968347011,-0.0552502169511137,0.0305676855895196,-0.0974387527839643,-0.034090909090909,Republican
AUGLAIZE COUNTY,OH,18.9,18.9,92.7,1.8,97.2,95.7,18888,2.39,64074,31198,0.9,401.39,1.9,88.8,50.0,46422,45949,114.5,3456,984,2070,88,3209,317,2920,Auglaize County,39011.0,25777,23627,23405,23486,23031,19892,-0.6264111417154827,-0.6212384136792652,-0.4844264046143987,-0.4116494933151665,-0.4823064565151317,-0.4125276493062538,Republican
AUGUSTA COUNTY,VA,21.9,22.7,87.4,3.1,92.8,90.2,29539,2.4,62711,30272,2.6,967.0,3.4,87.3,49.2,77487,73750,76.3,5645,1784,3051,282,5174,728,4536,Augusta County,51015.0,42278,36343,33672,33338,29704,25271,-0.4700790008988126,-0.4948958533968026,-0.4209135186505108,-0.3987941688163657,-0.5077093994074872,-0.439278224051284,Republican
AURORA COUNTY,SD,20.7,21.5,87.0,7.2,94.2,87.8,1182,2.19,64083,37086,4.7,708.43,7.7,92.4,47.1,2747,2710,3.8,153,41,71,0,130,0,127,Aurora County,46003.0,1405,1407,1400,1468,1649,1413,-0.5231316725978647,-0.4506041222459133,-0.1771428571428571,-0.0946866485013624,-0.2359005457853245,-0.2363765038924275,Republican
AUSTIN COUNTY,TX,19.8,23.9,84.0,27.8,87.4,61.4,11301,2.61,66206,30219,10.5,646.51,20.7,91.6,50.3,30167,28417,44.0,2815,771,1660,708,2024,285,2369,Austin County,48015.0,14554,12274,11649,11721,10702,9227,-0.5837570427373918,-0.596138178262995,-0.6020259249721005,-0.5089156215339988,-0.5129882264997196,-0.4610382572883927,Republican
AUTAUGA COUNTY,AL,16.0,26.6,88.5,3.0,76.3,73.8,21397,2.56,58731,29819,2.3,594.44,4.3,87.9,51.5,58805,54571,91.8,2949,1093,1499,616,2160,285,2401,Autauga County,1001.0,27770,24973,23932,23641,20081,17208,-0.4441843716240547,-0.489969166700036,-0.4603041952197894,-0.4784061587919292,-0.5197948309347143,-0.4097512784751278,Republican
AVERY COUNTY,NC,22.9,20.7,83.6,5.1,92.9,88.5,6551,2.14,40340,21167,3.2,247.09,6.3,86.4,45.8,17806,17797,72.0,1481,414,918,49,1379,149,1232,Avery County,37011.0,9458,8249,7759,7943,7524,6694,-0.5266441108056672,-0.558734392047521,-0.5005799716458306,-0.441017247891225,-0.5147527910685805,-0.4884971616372871,Republican
AVOYELLES PARISH,LA,17.3,12.3,76.8,2.1,66.4,64.9,15163,2.43,38565,22017,0.9,832.43,10.8,87.9,49.7,39693,42073,50.5,3090,1146,1594,536,2452,233,2702,Avoyelles Parish,22009.0,17292,16586,17032,16938,15525,14653,-0.40764515382836,-0.3695888098396238,-0.26966885861907,-0.230782855118668,-0.0854106280193237,-0.0428581177915785,Republican
BACA COUNTY,CO,24.4,21.4,86.2,11.3,93.6,83.9,1662,2.09,35878,24061,3.2,2554.97,7.4,86.4,49.8,3506,3788,1.5,443,124,273,0,424,54,376,Baca County,8009.0,2225,2153,2106,2175,2186,2278,-0.696629213483146,-0.6827682303762193,-0.5185185185185185,-0.4763218390804597,-0.5475754803293688,-0.4969271290605794,Republican
BACON COUNTY,GA,16.8,10.5,82.1,8.6,80.7,73.4,3874,2.7,37519,20326,3.3,258.58,7.1,88.5,51.1,11140,11096,42.9,937,368,436,223,669,40,812,Bacon County,13005.0,4668,4020,3931,3938,3790,2995,-0.7268637532133677,-0.6855721393034826,-0.5856016280844569,-0.5769426104621636,-0.5073878627968338,-0.3519198664440734,Republican
BAILEY COUNTY,TX,14.8,17.2,76.9,64.0,92.1,33.0,2054,3.35,52273,21945,15.6,826.8,48.1,92.1,49.8,6904,7165,8.7,557,88,307,191,344,25,509,Bailey County,48017.0,1860,1793,1816,2316,2412,2090,-0.5510752688172044,-0.5281650864472951,-0.480726872246696,-0.4041450777202072,-0.5626036484245439,-0.5267942583732057,Republican
BAKER COUNTY,FL,14.1,13.2,85.7,2.8,82.7,80.4,8693,2.92,63275,24686,1.8,585.23,4.7,81.6,47.4,28259,27115,46.3,1255,464,636,194,984,196,950,Baker County,12003.0,14059,12634,11368,11059,9955,8154,-0.7023259122270431,-0.6476175399715054,-0.5862068965517241,-0.5737408445609911,-0.558312405826218,-0.3946529310767722,Republican
BAKER COUNTY,GA,23.7,12.9,80.6,6.4,52.9,47.9,1425,2.2,32917,22525,5.0,341.94,7.7,94.1,50.8,2876,3451,10.1,335,102,173,129,199,0,277,Baker County,13007.0,1555,1440,1589,1687,1764,1519,-0.157556270096463,-0.0868055555555555,0.0056639395846443,0.010669828097214,0.0651927437641723,0.1830151415404871,Republican
BAKER COUNTY,OR,26.5,23.7,91.0,4.7,93.7,89.7,6921,2.23,45998,28700,2.0,3068.36,4.1,81.3,49.0,16668,16134,5.3,1748,507,915,78,1598,178,1438,Baker County,41001.0,9932,8779,8448,8777,9034,8258,-0.5040273862263391,-0.5035881079849641,-0.39453125,-0.3241426455508716,-0.4025902147442993,-0.414507144587067,Republican
BALDWIN COUNTY,AL,21.0,31.9,90.8,4.7,87.4,83.2,80930,2.59,58320,32626,3.7,1589.78,5.4,88.3,51.5,231767,182265,114.6,19732,6505,10935,2130,16893,2364,16183,Baldwin County,1003.0,109679,95215,85338,81413,69320,56480,-0.5376234283682382,-0.571601113269968,-0.5576882514237502,-0.5144755751538452,-0.5391229082515869,-0.4758321529745042,Republican
BALDWIN COUNTY,GA,16.5,23.3,85.8,2.3,54.0,52.4,16191,2.51,43672,21716,2.7,257.84,4.2,82.1,49.3,43799,45720,177.3,3709,1543,1759,1803,1771,413,3096,Baldwin County,13009.0,18251,16116,16238,16537,14547,12126,0.0129855898306942,0.0169396872673119,0.0550560413844068,0.0461994315776743,-0.0642056781466969,-0.012205178954313,Democrat
BALLARD COUNTY,KY,21.9,15.9,87.2,1.5,93.2,92.0,3065,2.58,45048,25217,2.5,246.66,4.0,92.0,50.3,7728,8249,33.4,638,318,253,64,542,52,554,Ballard County,21007.0,4225,4101,3895,4060,4177,3770,-0.5990532544378698,-0.5718117532309193,-0.3743260590500641,-0.2733990147783251,-0.150825951639933,0.0148541114058355,Republican
BALTIMORE CITY,MD,13.6,31.9,85.2,5.3,30.5,27.5,239116,2.45,50379,31271,8.1,80.94,9.9,83.6,53.0,585708,620961,7671.5,50735,24599,21952,27673,20782,4216,43918,Baltimore city,24510.0,237461,239402,254005,245968,213563,192404,0.7659615684259731,0.7412970651874253,0.7610362000748017,0.7549925193521108,0.6498878551059875,0.6840554250431384,Democrat
BALTIMORE COUNTY,MD,17.6,39.4,91.5,5.8,60.2,55.8,313519,2.58,76866,40105,12.6,598.3,14.8,87.9,52.7,854535,805029,1345.5,75371,27265,41451,23329,49895,7322,65022,Baltimore County,24005.0,414932,390682,384782,380938,353479,304084,0.2704226234660137,0.1764478527293296,0.1700027548066178,0.1455276186676046,0.0464610344603215,0.0907709711790163,Democrat
BAMBERG COUNTY,SC,22.4,18.8,80.3,2.3,37.6,36.2,5334,2.49,31422,18479,3.6,393.37,2.7,89.1,52.1,13311,15987,40.6,850,364,422,395,403,116,682,Bamberg County,45009.0,6482,6214,6882,6814,6036,5551,0.2457574822585622,0.2726102349533312,0.3530950305143853,0.3106838861168183,0.2821404903909874,0.2529274004683841,Democrat
BANDERA COUNTY,TX,27.9,22.8,89.3,19.8,95.3,76.7,8399,2.59,58661,29561,4.7,790.96,11.3,85.2,50.4,20851,20485,25.9,1907,649,985,199,1622,205,1527,Bandera County,48019.0,12715,10218,9448,9297,8741,7273,-0.5939441604404248,-0.6299667253865727,-0.5886960203217613,-0.5039259976336452,-0.5943255920375243,-0.5756909115908153,Republican
BANKS COUNTY,GA,17.7,13.4,75.9,7.2,93.8,87.3,6740,2.78,47811,21403,4.6,232.09,6.6,94.0,49.2,18035,18395,79.3,1262,337,814,60,1156,35,1107,Banks County,13011.0,8801,6975,6195,6241,5590,4533,-0.7797977502556527,-0.7813620071684588,-0.7383373688458434,-0.6558243871174492,-0.5833631484794275,-0.4372380322082506,Republican
BANNER COUNTY,NE,24.0,23.3,97.0,5.8,97.6,91.8,283,2.55,51750,27552,3.5,746.11,5.6,92.7,51.5,674,690,0.9,37,0,0,0,37,0,34,Banner County,31007.0,410,402,411,416,437,462,-0.7780487804878049,-0.8407960199004976,-0.7080291970802919,-0.6875,-0.7391304347826086,-0.7034632034632033,Republican
BANNOCK COUNTY,ID,14.7,27.8,92.5,8.9,90.6,83.4,31155,2.68,51734,25076,4.1,1111.99,7.4,80.6,50.3,87018,82839,74.5,6403,2085,2968,348,5750,411,5383,Bannock County,16005.0,39553,33416,35260,35105,34843,30852,-0.2186686218491643,-0.204632511371798,-0.2211003970504821,-0.1300099700897308,-0.2461326521826479,-0.2376183067548294,Republican
BARAGA COUNTY,MI,22.7,15.8,89.2,1.7,72.7,72.0,3107,2.34,46065,22920,1.5,898.26,3.2,88.1,44.9,8158,8860,9.9,387,124,192,56,310,0,343,Baraga County,26013.0,4038,3490,3490,3644,3684,3393,-0.2560673600792472,-0.2871060171919771,-0.0836676217765042,-0.033205268935236,-0.0860477741585233,-0.1284998526377836,Republican
BARBER COUNTY,KS,23.1,20.7,91.1,4.7,95.2,91.3,1923,2.38,50174,27648,1.9,1134.07,5.1,90.6,48.7,4228,4861,4.3,750,205,432,0,698,154,498,Barber County,20007.0,2342,2252,2314,2462,2403,2498,-0.7356959863364646,-0.69449378330373,-0.557476231633535,-0.5016246953696182,-0.4968789013732834,-0.4475580464371497,Republican
BARBOUR COUNTY,AL,19.7,11.6,73.2,4.5,49.2,45.5,9345,2.41,32525,18473,2.7,884.88,7.1,85.5,47.1,25223,27457,31.0,1687,760,755,657,941,147,1445,Barbour County,1005.0,10518,10469,11509,11630,10777,10395,-0.0766305381251188,-0.055688222370809,0.031453644973499,-0.0145313843508169,-0.0990071448455043,0.0088504088504088,Republican
BARBOUR COUNTY,WV,20.7,15.6,85.3,1.1,96.5,95.5,6324,2.54,38459,22899,0.7,341.06,2.4,90.4,51.1,15465,16589,48.6,1098,327,599,0,961,102,823,Barbour County,54001.0,6677,6054,5761,6232,6655,6051,-0.5480005990714392,-0.5459200528576148,-0.3568824856795695,-0.2031450577663671,-0.2094665664913599,-0.1500578416790613,Republican
BARNES COUNTY,ND,23.2,29.4,92.3,2.2,94.2,92.5,5074,2.0,58365,35491,2.1,1491.55,2.9,86.5,49.6,10853,11066,7.4,1005,351,514,0,884,95,795,Barnes County,38003.0,5565,5344,5522,5694,5813,5748,-0.3141060197663971,-0.2924775449101797,-0.1032234697573342,-0.0149279943800491,-0.2330982281094099,-0.2642658315935978,Republican
BARNSTABLE COUNTY,MA,31.4,43.4,95.5,3.4,92.2,89.5,94323,2.23,74336,44505,8.0,393.72,9.1,90.7,52.2,228996,215888,548.3,32628,9826,19793,1955,29839,4055,27101,Barnstable County,25001.0,151512,133862,133115,132270,132148,121086,0.2421128359469876,0.136939534744737,0.077947639259287,0.1403946473123157,0.1031343645004086,0.1046941842987628,Democrat
BARNWELL COUNTY,SC,18.9,12.5,79.8,2.7,52.7,50.8,8360,2.52,35803,20297,1.6,548.39,2.4,87.4,52.1,20589,22621,41.2,1652,780,744,672,924,153,1412,Barnwell County,45011.0,10321,9485,9923,9798,8685,8276,-0.0747989535897684,-0.0515550869794412,0.0533104907789983,0.0165339865278628,-0.0718480138169256,-0.1039149347510875,Republican
BARREN COUNTY,KY,18.0,16.3,83.0,3.4,92.6,90.0,16931,2.55,41459,21869,1.9,487.54,4.3,85.1,51.6,44485,42173,86.5,3621,1080,1882,175,3289,401,3006,Barren County,21009.0,20055,18488,16568,16807,16140,13844,-0.475043630017452,-0.4980527909995673,-0.333293095123129,-0.3390849050990658,-0.3473358116480793,-0.2752817104882982,Republican
BARRON COUNTY,WI,22.6,20.6,90.2,2.6,95.3,93.0,18907,2.35,52703,29681,2.7,862.71,4.2,88.5,50.0,46711,45870,53.2,4231,1035,2212,81,3968,397,3489,Barron County,55005.0,25346,22643,22692,22886,23937,19904,-0.2607512033456955,-0.2529258490482709,-0.0243698219636875,0.0708293279734335,-0.0139532940635835,-0.0462218649517685,Republican
